 
           중간 고사 성적 일람표      

=====================================
  학번   국어   영어  수학  총점  평균

=====================================

2019001 95.000000 90.000000 85.000000 270.000000 90.000000
2019002 92.000000 83.000000 55.000000 500.000000 166.666667
2019003 55.000000 77.000000 82.000000 714.000000 238.000000
2019004 75.000000 79.000000 85.000000 953.000000 317.666667
2019005 91.000000 92.000000 57.000000 1193.000000 397.666667
2019006 75.000000 74.000000 87.000000 1429.000000 476.333333
2019007 83.000000 92.000000 81.000000 1685.000000 561.666667
2019008 92.000000 87.000000 65.000000 1929.000000 643.000000
2019009 72.000000 76.000000 83.000000 2160.000000 720.000000
2019010 88.000000 92.000000 85.000000 2425.000000 808.333333
2019011 71.000000 82.000000 53.000000 2631.000000 877.000000
2019012 55.000000 76.000000 88.000000 2850.000000 950.000000
